"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",110.6,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",120.47,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",118.48,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",131.11,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",127.82,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",128.94,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",122.33,,
"BEL","Belgium","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",120.08,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",70.64,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",71.7,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",83.97,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",86.56,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",89.51,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",93.57,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",90.48,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",92.5,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",98.07,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",98.19,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",94.27,,
"CAN","Canada","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",93.72,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",30.54,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",34.31,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",41.08,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",45.58,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",48.35,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",57.88,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",57.96,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",55.25,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",52.01,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",47.69,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",43.82,,
"CZE","Czech Republic","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",40.28,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",34.59,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",41.94,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",49.27,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",53.44,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",60.11,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",60.62,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",56.73,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",59.14,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",53.43,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",51.41,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",48.78,,
"DNK","Denmark","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",47.38,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",39.09,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",38.28,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",49.23,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",55.06,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",57.52,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",64.34,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",64.78,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",71.69,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",75.06,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",75.46,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",73.23,,
"FIN","Finland","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",68.93,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",75.94,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",81.95,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",96.45,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",99.82,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",102.41,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",110.59,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",111,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",118.68,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",119.08,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",123.97,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",122.97,,
"FRA","France","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",122.36,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",65.11,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",69,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",76.42,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",86.21,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",85.91,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",88.94,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",83.99,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",84.04,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",79.63,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",76.71,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",72.39,,
"DEU","Germany","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",68.32,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",112.78,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",117.45,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",135.01,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",128.97,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",110.91,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",164.11,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",179.69,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",180.82,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",182.94,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",185.79,,
"GRC","Greece","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",188.73,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",71.43,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",75.15,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",84.14,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",85.8,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",94.79,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",98.12,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",96.54,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",100.11,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",99.39,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",99.44,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",94.08,,
"HUN","Hungary","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",87.84,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",29.89,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",69.44,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",83.56,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",87.96,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",94.37,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",92.06,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",84.22,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",77.05,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",70.07,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",64.39,,
"ISL","Iceland","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",63.42,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",27.46,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",47.47,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",67.54,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",83.5,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",111.46,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",129.36,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",131.73,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",121.2,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",88.52,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",84.14,,
"IRL","Ireland","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",77.24,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",110.7,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",112.99,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",125.96,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",124.88,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",117.99,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",136.22,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",143.65,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",155.99,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",156.98,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",155.01,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",152.92,,
"ITA","Italy","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",148.01,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",156.3,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",161.66,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",182.05,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",185.72,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",202.48,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",210.58,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",212.83,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",220.77,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",222.8,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",222.27,,
"JPN","Japan","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",222.1,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",27.65,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",28.63,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",31.36,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",33.33,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",35.95,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",38.79,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",40.76,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",43.98,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",45.96,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",45.37,,
"KOR","Korea","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",43.2,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",16.64,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",25.09,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",23.24,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",28.39,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",27.54,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",30.02,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",30.53,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",30.83,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",30.97,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",28.91,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",30.71,,
"LUX","Luxembourg","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",28.79,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",32.44,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",34.32,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",30.56,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",31.15,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",37.14,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",41.13,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",47.11,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",50.05,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",53.28,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",50.33,,
"MEX","Mexico","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",53.06,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",49.34,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",61.89,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",64.51,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",68.62,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",72.88,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",78.49,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",78,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",82.44,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",78.62,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",76.6,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",69.83,,
"NLD","Netherlands","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",64.57,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",33.47,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",35.55,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",39.14,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",43.26,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",54.92,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",60.25,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",62.18,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",55.7,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",54.18,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",50.73,,
"NZL","New Zealand","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",49.86,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",55.53,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",54.15,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",48.04,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",48.35,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",33.76,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",34.76,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",35.18,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",33.25,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",38.53,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",42.25,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",42.77,,
"NOR","Norway","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",45.58,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",51.06,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",53.35,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",56.73,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",60.93,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",61.21,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",64.39,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",65,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",70.54,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",69.87,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",72.5,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",68.12,,
"POL","Poland","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",66.09,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",78.1,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",82.76,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",96.11,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",104.07,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",107.85,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",137.1,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",141.43,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",151.4,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",149.15,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",145.32,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",145.3,,
"PRT","Portugal","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",140.61,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",34.79,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",33.79,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",42.46,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",47.39,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",49.95,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",58.3,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",61.16,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",60.34,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",59.68,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",59.77,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",58.24,,
"SVK","Slovak Republic","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",56.26,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",41.81,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",47.21,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",61.81,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",66.56,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",77.69,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",92.53,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",105.73,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",118.41,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",116.31,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",116.5,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",114.61,,
"ESP","Spain","GGD_GDP","General government gross debt as a percentage of GDP","2018","2018",113.31,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2007","2007",46.39,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2008","2008",45.02,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2009","2009",48.19,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2010","2010",45.86,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2011","2011",46.02,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2012","2012",46.67,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2013","2013",48.98,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2014","2014",55.2,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2015","2015",53.49,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2016","2016",52.25,,
"SWE","Sweden","GGD_GDP","General government gross debt as a percentage of GDP","2017","2017",49.77,,
